gid,config
62540,default
62541,default
62542,default
62543,default
62544,default
62545,default
62546,default
62547,default
62548,default
62549,default
62550,default
62551,default
62552,default
62553,default
62554,default
62555,default
62556,default
62557,default
62558,default
62559,default
62560,default
62561,default
62562,default
62563,default
62564,default
62565,default
62566,default
62567,default
62568,default
62569,default
62570,default
62571,default
62572,default
62573,default
62574,default
62575,default
62576,default
62577,default
62578,default
62579,default
62580,default
62581,default
62582,default
62583,default
62584,default
62585,default
62586,default
62587,default
62588,default
62589,default
62590,default
62591,default
62592,default
62593,default
62594,default
62595,default
62646,default
62647,default
62648,default
62649,default
62650,default
62651,default
62652,default
62653,default
62654,default
62655,default
62656,default
62657,default
62658,default
62659,default
62660,default
62661,default
62662,default
62663,default
62664,default
62665,default
62666,default
62667,default
62668,default
62669,default
62670,default
62671,default
62672,default
62673,default
62674,default
62675,default
62807,default
62808,default
62809,default
62810,default
62811,default
62812,default
62813,default
62814,default
62815,default
62816,default
62817,default
62818,default
62819,default
62820,default
62821,default
62822,default
62823,default
62824,default
62825,default
62826,default
62827,default
62828,default
62829,default
62830,default
62831,default
62832,default
62833,default
62834,default
62835,default
62836,default
62837,default
62838,default
62839,default
62840,default
62841,default
62842,default
62843,default
62844,default
62845,default
62846,default
62847,default
62848,default
62849,default
62850,default
62851,default
62852,default
62853,default
62854,default
62855,default
62856,default
62857,default
62858,default
62859,default
62860,default
62861,default
62862,default
62863,default
62864,default
62865,default
62866,default
62867,default
62868,default
62869,default
62870,default
62871,default
62872,default
62873,default
62874,default
62875,default
62876,default
62877,default
62878,default
62879,default
62880,default
62881,default
62882,default
62883,default
62884,default
62885,default
62886,default
62887,default
62888,default
62889,default
62890,default
62891,default
62892,default
62893,default
62943,default
62944,default
62945,default
62946,default
62947,default
62948,default
62949,default
62950,default
62951,default
62952,default
62953,default
62954,default
62955,default
62956,default
62957,default
62958,default
62959,default
62960,default
62961,default
62962,default
62963,default
62964,default
62965,default
62966,default
62967,default
62968,default
62969,default
62970,default
62971,default
62972,default
62973,default
63101,default
63102,default
63103,default
63104,default
63105,default
63106,default
63107,default
63108,default
63109,default
63110,default
63111,default
63112,default
63113,default
63114,default
63115,default
63116,default
63117,default
63118,default
63119,default
63120,default
63121,default
63122,default
63123,default
63124,default
63125,default
63126,default
63127,default
63128,default
63129,default
63130,default
63131,default
63132,default
63133,default
63134,default
63135,default
63136,default
63137,default
63138,default
63139,default
63140,default
63141,default
63142,default
63143,default
63144,default
63145,default
63146,default
63147,default
63148,default
63149,default
63150,default
63151,default
63152,default
63153,default
63154,default
63155,default
63156,default
63157,default
63158,default
63159,default
63160,default
63161,default
63162,default
63163,default
63164,default
63165,default
63166,default
63167,default
63168,default
63169,default
63170,default
63171,default
63172,default
63173,default
63174,default
63175,default
63176,default
63177,default
63178,default
63179,default
63180,default
63181,default
63182,default
63183,default
63184,default
63185,default
63186,default
63187,default
63188,default
63189,default
63190,default
63191,default
63240,default
63241,default
63242,default
63243,default
63244,default
63245,default
63246,default
63247,default
63248,default
63249,default
63250,default
63251,default
63252,default
63253,default
63254,default
63255,default
63256,default
63257,default
63258,default
63259,default
63260,default
63261,default
63262,default
63263,default
63264,default
63265,default
63266,default
63267,default
63268,default
63269,default
63270,default
63271,default
63396,default
63397,default
63398,default
63399,default
63400,default
63401,default
63402,default
63403,default
63404,default
63405,default
63406,default
63407,default
63408,default
63409,default
63410,default
63411,default
63412,default
63413,default
63414,default
63415,default
63416,default
63417,default
63418,default
63419,default
63420,default
63421,default
63422,default
63423,default
63424,default
63425,default
63426,default
63427,default
63428,default
63429,default
63430,default
63431,default
63432,default
63433,default
63434,default
63435,default
63436,default
63437,default
63438,default
63439,default
63440,default
63441,default
63442,default
63443,default
63444,default
63445,default
63446,default
63447,default
63448,default
63449,default
63450,default
63451,default
63452,default
63453,default
63454,default
63455,default
63456,default
63457,default
63458,default
63459,default
63460,default
63461,default
63462,default
63463,default
63464,default
63465,default
63466,default
63467,default
63468,default
63469,default
63470,default
63471,default
63472,default
63473,default
63474,default
63475,default
63476,default
63477,default
63478,default
63479,default
63480,default
63481,default
63482,default
63483,default
63484,default
63485,default
63486,default
63487,default
63488,default
63489,default
63538,default
63539,default
63540,default
63541,default
63542,default
63543,default
63544,default
63545,default
63546,default
63547,default
63548,default
63549,default
63550,default
63551,default
63552,default
63553,default
63554,default
63555,default
63556,default
63557,default
63558,default
63559,default
63560,default
63561,default
63562,default
63563,default
63564,default
63565,default
63566,default
63567,default
63568,default
63569,default
63691,default
63692,default
63693,default
63694,default
63695,default
63696,default
63697,default
63698,default
63699,default
63700,default
63701,default
63702,default
63703,default
63704,default
63705,default
63706,default
63707,default
63708,default
63709,default
63710,default
63711,default
63712,default
63713,default
63714,default
63715,default
63716,default
63717,default
63718,default
63719,default
63720,default
63721,default
63722,default
63723,default
63724,default
63725,default
63726,default
63727,default
63728,default
63729,default
63730,default
63731,default
63732,default
63733,default
63734,default
63735,default
63736,default
63737,default
63738,default
63739,default
63740,default
63741,default
63742,default
63743,default
63744,default
63745,default
63746,default
63747,default
63748,default
63749,default
63750,default
63751,default
63752,default
63753,default
63754,default
63755,default
63756,default
63757,default
63758,default
63759,default
63760,default
63761,default
63762,default
63763,default
63764,default
63765,default
63766,default
63767,default
63768,default
63769,default
63770,default
63771,default
63772,default
63773,default
63774,default
63775,default
63776,default
63777,default
63778,default
63779,default
63780,default
63781,default
63782,default
63783,default
63784,default
63785,default
63786,default
63787,default
63835,default
63836,default
63837,default
63838,default
63839,default
63840,default
63841,default
63842,default
63843,default
63844,default
63845,default
63846,default
63847,default
63848,default
63849,default
63850,default
63851,default
63852,default
63853,default
63854,default
63855,default
63856,default
63857,default
63858,default
63859,default
63860,default
63861,default
63862,default
63863,default
63864,default
63865,default
63866,default
63867,default
63986,default
63987,default
63988,default
63989,default
63990,default
63991,default
63992,default
63993,default
63994,default
63995,default
63996,default
63997,default
63998,default
63999,default
64000,default
64001,default
64002,default
64003,default
64004,default
64005,default
64006,default
64007,default
64008,default
64009,default
64010,default
64011,default
64012,default
64013,default
64014,default
64015,default
64016,default
64017,default
64018,default
64019,default
64020,default
64021,default
64022,default
64023,default
64024,default
64025,default
64026,default
64027,default
64028,default
64029,default
64030,default
64031,default
64032,default
64033,default
64034,default
64035,default
64036,default
64037,default
64038,default
64039,default
64040,default
64041,default
64042,default
64043,default
64044,default
64045,default
64046,default
64047,default
64048,default
64049,default
64050,default
64051,default
64052,default
64053,default
64054,default
64055,default
64056,default
64057,default
64058,default
64059,default
64060,default
64061,default
64062,default
64063,default
64064,default
64065,default
64066,default
64067,default
64068,default
64069,default
64070,default
64071,default
64072,default
64073,default
64074,default
64075,default
64076,default
64077,default
64078,default
64079,default
64080,default
64081,default
64082,default
64083,default
64084,default
64085,default
64132,default
64133,default
64134,default
64135,default
64136,default
64137,default
64138,default
64139,default
64140,default
64141,default
64142,default
64143,default
64144,default
64145,default
64146,default
64147,default
64148,default
64149,default
64150,default
64151,default
64152,default
64153,default
64154,default
64155,default
64156,default
64157,default
64158,default
64159,default
64160,default
64161,default
64162,default
64163,default
64164,default
64165,default
64281,default
64282,default
64283,default
64284,default
64285,default
64286,default
64287,default
64288,default
64289,default
64290,default
64291,default
64292,default
64293,default
64294,default
64295,default
64296,default
64297,default
64298,default
64299,default
64300,default
64301,default
64302,default
64303,default
64304,default
64305,default
64306,default
64307,default
64308,default
64309,default
64310,default
64311,default
64312,default
64313,default
64314,default
64315,default
64316,default
64317,default
64318,default
64319,default
64320,default
64321,default
64322,default
64323,default
64324,default
64325,default
64326,default
64327,default
64328,default
64329,default
64330,default
64331,default
64332,default
64333,default
64334,default
64335,default
64336,default
64337,default
64338,default
64339,default
64340,default
64341,default
64342,default
64343,default
64344,default
64345,default
64346,default
64347,default
64348,default
64349,default
64350,default
64351,default
64352,default
64353,default
64354,default
64355,default
64356,default
64357,default
64358,default
64359,default
64360,default
64361,default
64362,default
64363,default
64364,default
64365,default
64366,default
64367,default
64368,default
64369,default
64370,default
64371,default
64372,default
64373,default
64374,default
64375,default
64376,default
64377,default
64378,default
64379,default
64380,default
64381,default
64382,default
64383,default
64384,default
64431,default
64432,default
64433,default
64434,default
64435,default
64436,default
64437,default
64438,default
64439,default
64440,default
64441,default
64442,default
64443,default
64444,default
64445,default
64446,default
64447,default
64448,default
64449,default
64450,default
64451,default
64452,default
64453,default
64454,default
64455,default
64456,default
64457,default
64458,default
64459,default
64460,default
64461,default
64462,default
64463,default
64464,default
64577,default
64578,default
64579,default
64580,default
64581,default
64582,default
64583,default
64584,default
64585,default
64586,default
64587,default
64588,default
64589,default
64590,default
64591,default
64592,default
64593,default
64594,default
64595,default
64596,default
64597,default
64598,default
64599,default
64600,default
64601,default
64602,default
64603,default
64604,default
64605,default
64606,default
64607,default
64608,default
64609,default
64610,default
64611,default
64612,default
64613,default
64614,default
64615,default
64616,default
64617,default
64618,default
64619,default
64620,default
64621,default
64622,default
64623,default
64624,default
64625,default
64626,default
64627,default
64628,default
64629,default
64630,default
64631,default
64632,default
64633,default
64634,default
64635,default
64636,default
64637,default
64638,default
64639,default
64640,default
64641,default
64642,default
64643,default
64644,default
64645,default
64646,default
64647,default
64648,default
64649,default
64650,default
64651,default
64652,default
64653,default
64654,default
64655,default
64656,default
64657,default
64658,default
64659,default
64660,default
64661,default
64662,default
64663,default
64664,default
64665,default
64666,default
64667,default
64668,default
64669,default
64670,default
64671,default
64672,default
64673,default
64674,default
64675,default
64676,default
64677,default
64678,default
64679,default
64680,default
64681,default
64682,default
64683,default
64723,default
64724,default
64725,default
64726,default
64727,default
64728,default
64729,default
64730,default
64731,default
64732,default
64733,default
64734,default
64735,default
64736,default
64737,default
64738,default
64739,default
64740,default
64741,default
64742,default
64743,default
64744,default
64745,default
64746,default
64747,default
64748,default
64749,default
64750,default
64751,default
64752,default
64753,default
64754,default
64755,default
64756,default
64757,default
64758,default
64759,default
64760,default
64761,default
64762,default
64763,default
64876,default
64877,default
64878,default
64879,default
64880,default
64881,default
64882,default
64883,default
64884,default
64885,default
64886,default
64887,default
64888,default
64889,default
64890,default
64891,default
64892,default
64893,default
64894,default
